ARMAS NOVAS EM 2010 POR CATEGORIA E UF;;;;;;;;;;;;;;
UF;CATEGORIA;JANEIRO;FEVEREIRO ;MARÇO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;TOTAL
AC;Pessoa física;38;40;59;51;52;41;19;9;12;12;17;19;369
;Segurança Pública;0;1;0;0;0;0;0;0;0;0;0;0;1
;Segurança Privada;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;38;41;59;51;52;41;19;9;12;12;17;19;370
;TOTAL DE REGISTROS EXPEDIDOS;1071;970;874;499;286;431;450;401;186;35;28;60;5291
AL;Pessoa física;7;1;23;16;17;11;14;12;14;13;15;15;158
;Segurança Pública;0;1;0;0;0;0;0;0;0;0;0;145;146
;Segurança Privada;0;0;0;0;10;0;0;3;3;0;0;5;21
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;7;2;23;16;27;11;14;15;17;13;15;165;325
;TOTAL DE REGISTROS EXPEDIDOS;481;1089;655;452;54;33;30;56;73;22;22;27;2994
AM;Pessoa física;4;2;47;7;67;1;35;38;55;83;12;53;404
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;0;0;0
;Segurança Privada;10;0;0;0;13;0;0;1;0;5;0;9;38
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;7;7
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;14;2;47;7;80;1;35;39;55;88;12;69;449
;TOTAL DE REGISTROS EXPEDIDOS;1746;574;1652;576;930;965;1076;1523;1148;1219;1236;612;13257
AP;Pessoa física;4;2;8;8;3;2;1;4;3;7;3;2;47
;Segurança Pública;0;4;0;0;0;0;0;0;0;0;0;0;4
;Segurança Privada;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;4;6;8;8;3;2;1;4;3;7;3;2;51
;TOTAL DE REGISTROS EXPEDIDOS;51;114;307;187;283;824;551;827;388;243;179;36;3990
BA;Pessoa física;22;5;12;31;50;10;31;35;25;34;14;19;288
;Segurança Pública;0;0;0;0;0;0;0;1;2;0;0;0;3
;Segurança Privada;41;1;13;8;0;0;1;11;10;11;0;5;101
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;6;0;4;0;0;10
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;63;6;25;39;50;10;32;53;37;49;14;24;402
;TOTAL DE REGISTROS EXPEDIDOS;362;249;494;576;356;1689;1021;1355;387;520;976;3598;11583
CE;Pessoa física;12;26;36;26;23;23;25;38;33;10;18;28;298
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;0;0;0
;Segurança Privada;11;0;2;0;15;0;0;0;0;0;0;0;28
;Órgão Público;0;0;0;0;0;0;0;0;0;0;6;0;6
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;23;26;38;26;38;23;25;38;33;10;24;28;332
;TOTAL DE REGISTROS EXPEDIDOS;1055;805;663;855;2554;533;516;885;556;520;215;722;9879
DF;Pessoa física;16;34;51;51;0;4;2;6;9;9;11;18;211
